ID,name,shop_name,price,comment_num,link
2856600,"
              荷兰原装进口 荷高（Globemilk） 全脂纯牛奶1L*6整箱装 3.6%乳蛋白      ",荷高（Globemilk）京东自营旗舰店,78.00,34821,//item.jd.com/2856600.html
2149294,"
              德国进口牛奶 德亚（Weidendorf）脱脂 200ml*30 整箱装（新老包装随机发货）      ",德亚牛奶京东自营旗舰店,85.00,128495,//item.jd.com/2149294.html
1857008,"
              德国 进口牛奶 Arla爱氏晨曦 脱脂牛奶 1L*12 整箱装      ",爱氏晨曦Arla京东自营旗舰店,92.00,133220,//item.jd.com/1857008.html
1070841,"
              新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶1L*12 整箱装      ",安佳牛奶京东自营旗舰店,139.00,339570,//item.jd.com/1070841.html
1546827,"
              新西兰原装进口儿童牛奶 安佳（Anchor）金装儿童牛奶 调制乳 190ml*27 整箱装      ",安佳牛奶京东自营旗舰店,109.00,116734,//item.jd.com/1546827.html
1284576,"
              澳大利亚 进口牛奶 德运 （Devondale ）脱脂牛奶200ml*24整箱装      ",德运（Devondale）京东自营旗舰店,79.00,78908,//item.jd.com/1284576.html
1070843,"
              新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶250ml*24 整箱装      ",安佳牛奶京东自营旗舰店,89.00,825020,//item.jd.com/1070843.html
1533902,"
              纽仕兰牧场 Theland 3.5g蛋白质 全脂纯牛奶 250ml*24家庭装 新西兰进口      ",纽仕兰（Theland）京东自营旗舰店,69.90,297391,//item.jd.com/1533902.html
1431626,"
              新西兰进口 纽麦福（Meadow fresh）进口纯牛奶 全脂250ml*24盒/箱      ",纽麦福京东自营旗舰店,79.00,280824,//item.jd.com/1431626.html
14815678163,"
              安佳牛奶 全脂纯牛奶 新西兰进口1l*12 整箱装      ",安佳官方旗舰店,139.00,20490,//item.jd.com/14815678163.html
1284568,"
              澳大利亚 进口牛奶 德运 （Devondale ）全脂牛奶200ml*24整箱装（两种包装随机发货）      ",德运（Devondale）京东自营旗舰店,79.00,194346,//item.jd.com/1284568.html
7038908,"
              法国原装进口 荷兰乳牛 全脂纯牛奶1L*6 整箱装      ",荷兰乳牛京东自营旗舰店,54.00,48975,//item.jd.com/7038908.html
3152976,"
              澳大利亚 澳牧（Australia’s Own) 儿童成长牛奶 高端全脂纯进口牛奶早餐奶 200mlx15      ",澳牧京东自营旗舰店,146.00,52625,//item.jd.com/3152976.html
1803729,"
              德国进口 甘蒂牧场（MUH）牧牌 全脂纯牛奶 200ml*24盒 进口纯牛奶 整箱      ",甘蒂牧场京东自营旗舰店,79.00,94446,//item.jd.com/1803729.html
4438293,"
              欧盟有机认证 荷兰进口 乐荷（vecozuivel）全脂有机纯牛奶 200ml*24盒家庭装      ",乐荷京东自营旗舰店,195.00,5281,//item.jd.com/4438293.html
2816155,"
              德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理脱脂牛奶200ml*24盒      ",欧德堡牛奶京东自营旗舰店,59.00,256501,//item.jd.com/2816155.html
1133843,"
              澳大利亚 进口牛奶 德运（Devondale）脱脂牛奶 1L*10 整箱装      ",德运（Devondale）京东自营旗舰店,99.00,157720,//item.jd.com/1133843.html
798871,"
              德国进口 甘蒂牧场（MUH）全脂纯牛奶1L*12盒 进口纯牛奶 整箱      ",甘蒂牧场京东自营旗舰店,129.00,69488,//item.jd.com/798871.html
2274077,"
              纽仕兰牧场 Theland 调制乳粉 全脂成人奶粉 1kg袋装 新西兰进口      ",纽仕兰（Theland）京东自营旗舰店,59.90,82568,//item.jd.com/2274077.html
7428179,"
              澳大利亚 澳洲原装进口牛奶 澳伯顿 So Natural 全脂纯牛奶 1L*12/箱装 早餐饼干配牛奶 家庭装      ",自营,99.00,1893,//item.jd.com/7428179.html
